,song,artist,danceability,energy,speechiness,instrumentalness,tempo,valence,hit
0,Easy On Me,Adele,0.604,0.366,0.0282,0.0,141.981,0.13,1
1,Stay,The Kid LAROI & Justin Bieber,0.564,0.506,0.0589,0.868,170.054,0.454,1
2,Industry Baby,Lil Nas X & Jack Harlow,0.695,0.538,0.0687,0.863,150.138,0.689,1
3,Fancy Like,Walker Hayes,0.647,0.765,0.06,0.0,79.994,0.855,1
4,Bad Habits,Ed Sheeran,0.807,0.893,0.0347,2.79e-05,126.011,0.537,1
5,Way 2 Sexy,Drake Featuring Future & Young Thug,0.803,0.495,0.202,0.881,136.994,0.308,1
6,Shivers,Ed Sheeran,0.788,0.859,0.0856,0.0,141.02,0.822,1
7,Good 4 U,Olivia Rodrigo,0.563,0.664,0.154,0.0,166.928,0.688,1
8,Need To Know,Doja Cat,0.664,0.609,0.0707,0.0,130.041,0.194,1
9,Levitating,Dua Lipa,0.702,0.825,0.0601,0.0,102.977,0.915,1
10,Essence,Wizkid Featuring Justin Bieber & Tems,0.849,0.707,0.113,8.58e-06,104.027,0.602,1
11,Kiss Me More,Doja Cat Featuring SZA,0.762,0.701,0.0286,0.000158,110.968,0.742,1
12,Heat Waves,Glass Animals,0.761,0.525,0.0944,6.7e-06,80.87,0.531,1
13,Beggin',Maneskin,0.714,0.8,0.0504,0.0,134.002,0.589,1
14,Cold Heart (PNAU Remix),Elton John & Dua Lipa,0.796,0.798,0.0317,4.19e-05,116.032,0.942,1
15,You Right,Doja Cat & The Weeknd,0.699,0.36,0.0279,0.877,99.956,0.756,1
16,Save Your Tears,The Weeknd & Ariana Grande,0.547,0.325,0.0423,0.929,117.98,0.217,1
17,If I Didn't Love You,Jason Aldean & Carrie Underwood,0.391,0.841,0.0311,0.959,145.878,0.863,1
18,Traitor,Olivia Rodrigo,0.38,0.339,0.0338,0.0,100.607,0.0849,1
19,My Universe,Coldplay x BTS,0.411,0.379,0.0461,0.456,153.92,0.967,1
20,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",0.748,0.713,0.355,0.0,75.591,0.482,1
21,Knife Talk,Drake Featuring 21 Savage & Project Pat,0.852,0.358,0.164,2.2e-05,145.906,0.176,1
22,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,0.773,0.47,0.0299,0.000198,94.995,0.399,1
23,Montero (Call Me By Your Name),Lil Nas X,0.593,0.503,0.22,0.0,178.781,0.71,1
24,Chasing After You,Ryan Hurd With Maren Morris,0.596,0.679,0.0394,0.0,131.912,0.479,1
25,Girls Want Girls,Drake Featuring Lil Baby,0.767,0.438,0.29,0.0,86.975,0.381,1
26,Moth To A Flame,Swedish House Mafia & The Weeknd,0.681,0.915,0.0423,0.413,121.996,0.109,1
27,Let's Go Brandon,Bryson Gray Featuring Tyson James & Chandler Crump,0.913,0.561,0.329,4.07e-06,136.984,0.554,1
28,Thats What I Want,Lil Nas X,0.737,0.846,0.22,0.0,87.981,0.546,1
29,Pepas,Farruko,0.762,0.766,0.0343,6.98e-05,130.001,0.442,1
30,Love Nwantiti (Ah Ah Ah),CKay,0.727,0.739,0.0411,0.00137,93.005,0.533,1
31,Take My Breath,The Weeknd,0.698,0.769,0.0368,0.00166,121.02,0.354,1
32,Happier Than Ever,Billie Eilish,0.332,0.225,0.0348,0.00349,81.055,0.297,1
33,Wockesha,Moneybagg Yo,0.582,0.537,0.619,0.0,82.103,0.771,1
34,Better Days,NEIKED X Mae Muller X Polo G,0.717,0.671,0.0337,2.54e-06,110.054,0.699,1
35,Buy Dirt,Jordan Davis Featuring Luke Bryan,0.586,0.559,0.05,0.0,177.945,0.437,1
36,Ghost,Justin Bieber,0.601,0.741,0.0478,2.91e-05,153.96,0.441,1
37,Lets Go Brandon,Loza Alexander,0.693,0.54,0.0519,0.0261,176.056,0.0654,1
38,Cold As You,Luke Combs,0.598,0.846,0.0355,0.0,144.04,0.328,1
39,A-O-K,Tai Verdes,0.731,0.626,0.0805,0.0,82.488,0.862,1
40,You Should Probably Leave,Chris Stapleton,0.602,0.477,0.032,3.1e-05,183.89,0.552,1
41,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),0.586,0.616,0.0324,0.0,148.088,0.719,1
42,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,0.394,0.747,0.0627,0.0,203.918,0.776,1
43,Memory I Don't Mess With,Lee Brice,0.617,0.704,0.0258,0.0,91.541,0.57,1
44,Bubbly,Young Thug With Drake & Travis Scott,0.91,0.585,0.257,0.0,129.011,0.599,1
45,Wild Side,Normani Featuring Cardi B,0.74,0.576,0.146,0.0,110.095,0.315,1
46,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,0.69,0.652,0.0449,0.0,75.982,0.159,1
47,Gyalis,Capella Grey,0.666,0.643,0.423,0.0,96.375,0.756,1
48,I Was On A Boat That Day,Old Dominion,0.541,0.903,0.0901,0.0,139.981,0.767,1
49,Family Ties,Baby Keem & Kendrick Lamar,0.579,0.706,0.035,0.864,87.992,0.698,1
50,Have Mercy,Chloe,0.903,0.535,0.0742,0.0,130.022,0.508,1
51,Fair Trade,Drake Featuring Travis Scott,0.659,0.465,0.252,0.0,167.959,0.275,1
52,Same Boat,Zac Brown Band,0.486,0.838,0.0617,0.0,171.963,0.664,0
53,My Boy,Elvie Shane,0.686,0.566,0.0423,0.0,146.042,0.542,1
54,Hurricane,Kanye West,0.587,0.561,0.146,0.0,80.009,0.351,1
55,Chosen,Blxst & Tyga Featuring Ty Dolla $ign,0.571,0.767,0.287,0.0,93.421,0.605,0
56,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",0.712,0.703,0.199,0.0,89.024,0.452,0
57,Knowing You,Kenny Chesney,0.557,0.565,0.026,3.9e-06,125.956,0.187,0
58,Memory,Kane Brown X blackbear,0.618,0.808,0.0625,2.31e-06,100.037,0.49,0
59,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,0.585,0.863,0.0401,0.0,147.931,0.788,1
60,Not In The Mood,"Lil Tjay, Fivio Foreign & Kay Flock",0.545,0.82,0.275,0.0,141.908,0.357,0
61,Pissed Me Off,Lil Durk,0.723,0.516,0.485,1.26e-06,155.967,0.223,1
62,Woman,Doja Cat,0.824,0.764,0.0854,0.00294,107.998,0.881,0
63,Sand In My Boots,Morgan Wallen,0.403,0.537,0.031,0.0,69.877,0.414,1
64,'Til You Can't,Cody Johnson,0.501,0.815,0.0436,0.0,160.087,0.46,0
65,Love Again,Dua Lipa,0.659,0.667,0.0339,2.85e-05,115.982,0.468,1
66,Whiskey And Rain,Michael Ray,0.653,0.623,0.0244,3.32e-06,100.021,0.718,0
67,One Mississippi,Kane Brown,0.471,0.846,0.0389,2.86e-06,100.089,0.539,0
68,Switches & Dracs,Moneybagg Yo Featuring Lil Durk & EST Gee,0.772,0.563,0.452,0.0,160.064,0.521,0
69,Jugaste y Sufri,Eslabon Armado Featuring DannyLux,0.39,0.499,0.0381,0.000497,200.156,0.34,0
70,Too Easy,Gunna & Future,0.784,0.601,0.118,0.0,156.0,0.22,1
